wavelength   n
7.277722e-01 2.515150e+00
7.289697e-01 2.515000e+00
7.301671e-01 2.514849e+00
7.313645e-01 2.514698e+00
7.325620e-01 2.514548e+00
7.337594e-01 2.514397e+00
7.349569e-01 2.514247e+00
7.361543e-01 2.514096e+00
7.373637e-01 2.513944e+00
7.385611e-01 2.513794e+00
7.397586e-01 2.513646e+00
7.409560e-01 2.513502e+00
7.421534e-01 2.513358e+00
7.433509e-01 2.513213e+00
7.445483e-01 2.513069e+00
7.457458e-01 2.512924e+00
7.469432e-01 2.512780e+00
7.481406e-01 2.512635e+00
7.493500e-01 2.512489e+00
7.505475e-01 2.512345e+00
7.517449e-01 2.512200e+00
7.529424e-01 2.512059e+00
7.541398e-01 2.511918e+00
7.553372e-01 2.511776e+00
7.565347e-01 2.511635e+00
7.577321e-01 2.511494e+00
7.589295e-01 2.511353e+00
7.601270e-01 2.511211e+00
7.613244e-01 2.511070e+00
7.625338e-01 2.510928e+00
7.637313e-01 2.510786e+00
7.649287e-01 2.510645e+00
7.661261e-01 2.510518e+00
7.673236e-01 2.510391e+00
7.685210e-01 2.510264e+00
7.697184e-01 2.510137e+00
7.709159e-01 2.510010e+00
7.721133e-01 2.509883e+00
7.733108e-01 2.509756e+00
7.745202e-01 2.509628e+00
7.757176e-01 2.509501e+00
7.769150e-01 2.509374e+00
7.781125e-01 2.509247e+00
7.793099e-01 2.509124e+00
7.805073e-01 2.509001e+00
7.817048e-01 2.508878e+00
7.829022e-01 2.508755e+00
7.840997e-01 2.508633e+00
7.852971e-01 2.508510e+00
7.865065e-01 2.508386e+00
7.877039e-01 2.508263e+00
7.889014e-01 2.508141e+00
7.900988e-01 2.508018e+00
7.912963e-01 2.507895e+00
7.924937e-01 2.507775e+00
7.936911e-01 2.507656e+00
7.948886e-01 2.507536e+00
7.960860e-01 2.507417e+00
7.972834e-01 2.507298e+00
7.984928e-01 2.507177e+00
7.996903e-01 2.507058e+00
8.008877e-01 2.506939e+00
8.020852e-01 2.506819e+00
8.032826e-01 2.506700e+00
8.044800e-01 2.506581e+00
8.056775e-01 2.506464e+00
8.068749e-01 2.506356e+00
8.080723e-01 2.506249e+00
8.092698e-01 2.506141e+00
8.104792e-01 2.506033e+00
8.116766e-01 2.505925e+00
8.128741e-01 2.505818e+00
8.140715e-01 2.505711e+00
8.152689e-01 2.505603e+00
8.164664e-01 2.505496e+00
8.176638e-01 2.505388e+00
8.188612e-01 2.505281e+00
8.200587e-01 2.505172e+00
8.212561e-01 2.505063e+00
8.224655e-01 2.504952e+00
8.236630e-01 2.504843e+00
8.248604e-01 2.504734e+00
8.260578e-01 2.504624e+00
8.272553e-01 2.504515e+00
8.284527e-01 2.504406e+00
8.296501e-01 2.504296e+00
8.308476e-01 2.504187e+00
8.320450e-01 2.504078e+00
8.332425e-01 2.503968e+00
8.344519e-01 2.503864e+00
8.356493e-01 2.503763e+00
8.368467e-01 2.503662e+00
8.380442e-01 2.503561e+00
8.392416e-01 2.503460e+00
8.404391e-01 2.503359e+00
8.416365e-01 2.503258e+00
8.428339e-01 2.503157e+00
8.440314e-01 2.503056e+00
8.452288e-01 2.502954e+00
8.464382e-01 2.502852e+00
8.476356e-01 2.502751e+00
8.488331e-01 2.502659e+00
8.500305e-01 2.502572e+00
8.512280e-01 2.502484e+00
8.524254e-01 2.502396e+00
8.536228e-01 2.502309e+00
8.548203e-01 2.502221e+00
8.560177e-01 2.502134e+00
8.572151e-01 2.502046e+00
8.584246e-01 2.501958e+00
8.596220e-01 2.501870e+00
8.608194e-01 2.501782e+00
8.620169e-01 2.501695e+00
8.632143e-01 2.501605e+00
8.644117e-01 2.501512e+00
8.656092e-01 2.501419e+00
8.668066e-01 2.501326e+00
8.680040e-01 2.501233e+00
8.692015e-01 2.501141e+00
8.704109e-01 2.501047e+00
8.716083e-01 2.500954e+00
8.728058e-01 2.500861e+00
8.740032e-01 2.500768e+00
8.752006e-01 2.500675e+00
8.763981e-01 2.500582e+00
8.775955e-01 2.500489e+00
8.787929e-01 2.500406e+00
8.799904e-01 2.500324e+00
8.811878e-01 2.500242e+00
8.823972e-01 2.500159e+00
8.835947e-01 2.500077e+00
8.847921e-01 2.499994e+00
8.859895e-01 2.499912e+00
8.871870e-01 2.499830e+00
8.883844e-01 2.499748e+00
8.895819e-01 2.499666e+00
8.907793e-01 2.499583e+00
8.919767e-01 2.499501e+00
8.931742e-01 2.499420e+00
8.943716e-01 2.499340e+00
8.955810e-01 2.499260e+00
8.967784e-01 2.499180e+00
8.979759e-01 2.499101e+00
8.991733e-01 2.499022e+00
9.003708e-01 2.498942e+00
9.015682e-01 2.498863e+00
9.027656e-01 2.498783e+00
9.039631e-01 2.498704e+00
9.051605e-01 2.498625e+00
9.063579e-01 2.498545e+00
9.075674e-01 2.498465e+00
9.087648e-01 2.498386e+00
9.099622e-01 2.498310e+00
9.111597e-01 2.498233e+00
9.123571e-01 2.498156e+00
9.135545e-01 2.498079e+00
9.147520e-01 2.498003e+00
9.159494e-01 2.497926e+00
9.171468e-01 2.497849e+00
9.183443e-01 2.497773e+00
9.195537e-01 2.497695e+00
9.207511e-01 2.497618e+00
9.219486e-01 2.497542e+00
9.231460e-01 2.497465e+00
9.243434e-01 2.497389e+00
9.255409e-01 2.497315e+00
9.267383e-01 2.497240e+00
9.279357e-01 2.497166e+00
9.291332e-01 2.497092e+00
9.303306e-01 2.497018e+00
9.315400e-01 2.496943e+00
9.327375e-01 2.496869e+00
9.339349e-01 2.496795e+00
9.351323e-01 2.496721e+00
9.363298e-01 2.496647e+00
9.375272e-01 2.496573e+00
9.387247e-01 2.496498e+00
9.399221e-01 2.496424e+00
9.411195e-01 2.496353e+00
9.423170e-01 2.496282e+00
9.435264e-01 2.496210e+00
9.447238e-01 2.496140e+00
9.459212e-01 2.496069e+00
9.471187e-01 2.495998e+00
9.483161e-01 2.495927e+00
9.495136e-01 2.495856e+00
9.507110e-01 2.495786e+00
9.519084e-01 2.495715e+00
9.531059e-01 2.495644e+00
9.543033e-01 2.495573e+00
9.555127e-01 2.495502e+00
9.567102e-01 2.495432e+00
9.579076e-01 2.495369e+00
9.591050e-01 2.495306e+00
9.603025e-01 2.495243e+00
9.614999e-01 2.495180e+00
9.626973e-01 2.495117e+00
9.638948e-01 2.495054e+00
9.650922e-01 2.494991e+00
9.662896e-01 2.494928e+00
9.674991e-01 2.494864e+00
9.686965e-01 2.494801e+00
9.698939e-01 2.494738e+00
9.710914e-01 2.494675e+00
9.722888e-01 2.494612e+00
9.734862e-01 2.494550e+00
9.746837e-01 2.494491e+00
9.758811e-01 2.494432e+00
9.770786e-01 2.494373e+00
9.782760e-01 2.494314e+00
9.794854e-01 2.494255e+00
9.806828e-01 2.494195e+00
9.818803e-01 2.494136e+00
9.830777e-01 2.494077e+00
9.842751e-01 2.494018e+00
9.854726e-01 2.493959e+00
9.866700e-01 2.493900e+00
9.878675e-01 2.493841e+00
9.890649e-01 2.493782e+00
9.902623e-01 2.493723e+00
9.914717e-01 2.493665e+00
9.926692e-01 2.493608e+00
9.938666e-01 2.493550e+00
9.950640e-01 2.493492e+00
9.962615e-01 2.493435e+00
9.974589e-01 2.493377e+00
9.986564e-01 2.493319e+00
9.998538e-01 2.493262e+00
1.001051e+00 2.493204e+00
1.002249e+00 2.493146e+00
1.003458e+00 2.493088e+00
1.004656e+00 2.493031e+00
1.005853e+00 2.492973e+00
1.007050e+00 2.492915e+00
1.008248e+00 2.492860e+00
1.009445e+00 2.492804e+00
1.010643e+00 2.492749e+00
1.011840e+00 2.492693e+00
1.013038e+00 2.492638e+00
1.014235e+00 2.492582e+00
1.015444e+00 2.492526e+00
1.016642e+00 2.492470e+00
1.017839e+00 2.492415e+00
1.019037e+00 2.492359e+00
1.020234e+00 2.492304e+00
1.021432e+00 2.492248e+00
1.022629e+00 2.492193e+00
1.023826e+00 2.492137e+00
1.025024e+00 2.492082e+00
1.026221e+00 2.492028e+00
1.027419e+00 2.491974e+00
1.028628e+00 2.491920e+00
1.029826e+00 2.491866e+00
1.031023e+00 2.491812e+00
1.032221e+00 2.491758e+00
1.033418e+00 2.491704e+00
1.034615e+00 2.491649e+00
1.035813e+00 2.491595e+00
1.037010e+00 2.491541e+00
1.038208e+00 2.491487e+00
1.039405e+00 2.491433e+00
1.040615e+00 2.491379e+00
1.041812e+00 2.491325e+00
1.043009e+00 2.491272e+00
1.044207e+00 2.491219e+00
1.045404e+00 2.491167e+00
1.046602e+00 2.491115e+00
1.047799e+00 2.491063e+00
1.048997e+00 2.491010e+00
1.050194e+00 2.490958e+00
1.051391e+00 2.490906e+00
1.052601e+00 2.490853e+00
1.053798e+00 2.490801e+00
1.054996e+00 2.490748e+00
1.056193e+00 2.490696e+00
1.057391e+00 2.490644e+00
1.058588e+00 2.490592e+00
1.059786e+00 2.490539e+00
1.060983e+00 2.490489e+00
1.062180e+00 2.490440e+00
1.063378e+00 2.490392e+00
1.064587e+00 2.490342e+00
1.065785e+00 2.490294e+00
1.066982e+00 2.490245e+00
1.068180e+00 2.490197e+00
1.069377e+00 2.490148e+00
1.070574e+00 2.490099e+00
1.071772e+00 2.490051e+00
1.072969e+00 2.490002e+00
1.074167e+00 2.489953e+00
1.075364e+00 2.489905e+00
1.076574e+00 2.489856e+00
1.077771e+00 2.489807e+00
1.078968e+00 2.489759e+00
1.080166e+00 2.489717e+00
1.081363e+00 2.489674e+00
1.082561e+00 2.489632e+00
1.083758e+00 2.489589e+00
1.084956e+00 2.489547e+00
1.086153e+00 2.489504e+00
1.087350e+00 2.489461e+00
1.088560e+00 2.489418e+00
1.089757e+00 2.489376e+00
1.090955e+00 2.489333e+00
1.092152e+00 2.489291e+00
1.093350e+00 2.489248e+00
1.094547e+00 2.489206e+00
1.095745e+00 2.489163e+00
1.096942e+00 2.489120e+00
1.098139e+00 2.489079e+00
1.099337e+00 2.489038e+00
1.100546e+00 2.488996e+00
1.101744e+00 2.488955e+00
1.102941e+00 2.488914e+00
1.104139e+00 2.488873e+00
1.105336e+00 2.488832e+00
1.106533e+00 2.488790e+00
1.107731e+00 2.488749e+00
1.108928e+00 2.488708e+00
1.110126e+00 2.488667e+00
1.111323e+00 2.488626e+00
1.112533e+00 2.488584e+00
1.113730e+00 2.488543e+00
1.114927e+00 2.488502e+00
1.116125e+00 2.488461e+00
1.117322e+00 2.488421e+00
1.118520e+00 2.488381e+00
1.119717e+00 2.488341e+00
1.120915e+00 2.488301e+00
1.122112e+00 2.488260e+00
1.123310e+00 2.488220e+00
1.124519e+00 2.488180e+00
1.125716e+00 2.488140e+00
1.126914e+00 2.488100e+00
1.128111e+00 2.488060e+00
1.129309e+00 2.488020e+00
1.130506e+00 2.487980e+00
1.131704e+00 2.487940e+00
1.132901e+00 2.487900e+00
1.134098e+00 2.487859e+00
1.135296e+00 2.487819e+00
1.136505e+00 2.487779e+00
1.137703e+00 2.487740e+00
1.138900e+00 2.487700e+00
1.140098e+00 2.487661e+00
1.141295e+00 2.487622e+00
1.142492e+00 2.487582e+00
1.143690e+00 2.487543e+00
1.144887e+00 2.487503e+00
1.146085e+00 2.487464e+00
1.147282e+00 2.487425e+00
1.148492e+00 2.487385e+00
1.149689e+00 2.487346e+00
1.150886e+00 2.487306e+00
1.152084e+00 2.487267e+00
1.153281e+00 2.487227e+00
1.154479e+00 2.487188e+00
1.155676e+00 2.487149e+00
1.156874e+00 2.487110e+00
1.158071e+00 2.487072e+00
1.159269e+00 2.487034e+00
1.160466e+00 2.486996e+00
1.161675e+00 2.486957e+00
1.162873e+00 2.486919e+00
1.164070e+00 2.486881e+00
1.165268e+00 2.486842e+00
1.166465e+00 2.486804e+00
1.167663e+00 2.486766e+00
1.168860e+00 2.486728e+00
1.170057e+00 2.486689e+00
1.171255e+00 2.486651e+00
1.172452e+00 2.486613e+00
1.173662e+00 2.486574e+00
1.174859e+00 2.486536e+00
1.176057e+00 2.486500e+00
1.177254e+00 2.486468e+00
1.178451e+00 2.486437e+00
1.179649e+00 2.486405e+00
1.180846e+00 2.486373e+00
1.182044e+00 2.486341e+00
1.183241e+00 2.486309e+00
1.184439e+00 2.486277e+00
1.185648e+00 2.486245e+00
1.186846e+00 2.486213e+00
1.188043e+00 2.486181e+00
1.189240e+00 2.486150e+00
1.190438e+00 2.486118e+00
1.191635e+00 2.486086e+00
1.192833e+00 2.486054e+00
1.194030e+00 2.486022e+00
1.195228e+00 2.485990e+00
1.196425e+00 2.485958e+00
1.197634e+00 2.485923e+00
1.198832e+00 2.485889e+00
1.200029e+00 2.485855e+00
1.201227e+00 2.485821e+00
1.202424e+00 2.485787e+00
1.203622e+00 2.485752e+00
1.204819e+00 2.485718e+00
1.206016e+00 2.485684e+00
1.207214e+00 2.485650e+00
1.208411e+00 2.485616e+00
1.209621e+00 2.485581e+00
1.210818e+00 2.485547e+00
1.212016e+00 2.485513e+00
1.213213e+00 2.485479e+00
1.214410e+00 2.485445e+00
1.215608e+00 2.485411e+00
1.216805e+00 2.485377e+00
1.218003e+00 2.485347e+00
1.219200e+00 2.485317e+00
1.220398e+00 2.485287e+00
1.221607e+00 2.485257e+00
1.222805e+00 2.485227e+00
1.224002e+00 2.485197e+00
1.225199e+00 2.485167e+00
1.226397e+00 2.485137e+00
1.227594e+00 2.485107e+00
1.228792e+00 2.485077e+00
1.229989e+00 2.485047e+00
1.231187e+00 2.485017e+00
1.232384e+00 2.484987e+00
1.233593e+00 2.484956e+00
1.234791e+00 2.484926e+00
1.235988e+00 2.484896e+00
1.237186e+00 2.484866e+00
1.238383e+00 2.484835e+00
1.239581e+00 2.484803e+00
1.240778e+00 2.484771e+00
1.241975e+00 2.484739e+00
1.243173e+00 2.484707e+00
1.244370e+00 2.484675e+00
1.245580e+00 2.484643e+00
1.246777e+00 2.484611e+00
1.247975e+00 2.484579e+00
1.249172e+00 2.484547e+00
1.250370e+00 2.484515e+00
1.251567e+00 2.484483e+00
1.252764e+00 2.484451e+00
1.253962e+00 2.484419e+00
1.255159e+00 2.484387e+00
1.256357e+00 2.484355e+00
1.257566e+00 2.484323e+00
1.258764e+00 2.484291e+00
1.259961e+00 2.484262e+00
1.261158e+00 2.484235e+00
1.262356e+00 2.484208e+00
1.263553e+00 2.484181e+00
1.264751e+00 2.484155e+00
1.265948e+00 2.484128e+00
1.267146e+00 2.484101e+00
1.268343e+00 2.484074e+00
1.269552e+00 2.484047e+00
1.270750e+00 2.484020e+00
1.271947e+00 2.483993e+00
1.273145e+00 2.483966e+00
1.274342e+00 2.483939e+00
1.275540e+00 2.483913e+00
1.276737e+00 2.483886e+00
1.277935e+00 2.483859e+00
1.279132e+00 2.483832e+00
1.280329e+00 2.483805e+00
1.281539e+00 2.483778e+00
1.282736e+00 2.483752e+00
1.283934e+00 2.483726e+00
1.285131e+00 2.483701e+00
1.286329e+00 2.483675e+00
1.287526e+00 2.483649e+00
1.288723e+00 2.483623e+00
1.289921e+00 2.483597e+00
1.291118e+00 2.483571e+00
1.292316e+00 2.483545e+00
1.293513e+00 2.483519e+00
1.294723e+00 2.483493e+00
1.295920e+00 2.483467e+00
1.297117e+00 2.483441e+00
1.298315e+00 2.483415e+00
1.299512e+00 2.483389e+00
1.300710e+00 2.483364e+00
1.301907e+00 2.483338e+00
1.303105e+00 2.483312e+00
1.304302e+00 2.483287e+00
1.305500e+00 2.483262e+00
1.306709e+00 2.483236e+00
1.307906e+00 2.483211e+00
1.309104e+00 2.483186e+00
1.310301e+00 2.483161e+00
1.311499e+00 2.483136e+00
1.312696e+00 2.483111e+00
1.313894e+00 2.483086e+00
1.315091e+00 2.483061e+00
1.316288e+00 2.483036e+00
1.317486e+00 2.483011e+00
1.318695e+00 2.482986e+00
1.319893e+00 2.482961e+00
1.321090e+00 2.482936e+00
1.322288e+00 2.482911e+00
1.323485e+00 2.482886e+00
1.324682e+00 2.482860e+00
1.325880e+00 2.482835e+00
1.327077e+00 2.482811e+00
1.328275e+00 2.482787e+00
1.329472e+00 2.482763e+00
1.330682e+00 2.482738e+00
1.331879e+00 2.482714e+00
1.333076e+00 2.482690e+00
1.334274e+00 2.482666e+00
1.335471e+00 2.482642e+00
1.336669e+00 2.482617e+00
1.337866e+00 2.482593e+00
1.339064e+00 2.482569e+00
1.340261e+00 2.482545e+00
1.341459e+00 2.482521e+00
1.342668e+00 2.482496e+00
1.343865e+00 2.482472e+00
1.345063e+00 2.482448e+00
1.346260e+00 2.482424e+00
1.347458e+00 2.482399e+00
1.348655e+00 2.482375e+00
1.349853e+00 2.482352e+00
1.351050e+00 2.482328e+00
1.352247e+00 2.482305e+00
1.353445e+00 2.482282e+00
1.354654e+00 2.482258e+00
1.355852e+00 2.482235e+00
1.357049e+00 2.482211e+00
1.358247e+00 2.482188e+00
1.359444e+00 2.482164e+00
1.360641e+00 2.482141e+00
1.361839e+00 2.482118e+00
1.363036e+00 2.482094e+00
1.364234e+00 2.482071e+00
