wavelength   n
1.535647e+00 2.479361e+00
1.536844e+00 2.479347e+00
1.538042e+00 2.479333e+00
1.539239e+00 2.479319e+00
1.540437e+00 2.479304e+00
1.541634e+00 2.479290e+00
1.542831e+00 2.479276e+00
1.544029e+00 2.479262e+00
1.545226e+00 2.479248e+00
1.546424e+00 2.479234e+00
1.547633e+00 2.479220e+00
1.548831e+00 2.479202e+00
1.550028e+00 2.479184e+00
1.551225e+00 2.479167e+00
1.552423e+00 2.479149e+00
1.553620e+00 2.479131e+00
1.554818e+00 2.479113e+00
1.556015e+00 2.479095e+00
1.557213e+00 2.479077e+00
1.558410e+00 2.479059e+00
1.559608e+00 2.479041e+00
1.560817e+00 2.479023e+00
1.562014e+00 2.479005e+00
1.563212e+00 2.478987e+00
1.564409e+00 2.478969e+00
1.565607e+00 2.478951e+00
1.566804e+00 2.478934e+00
1.568002e+00 2.478916e+00
1.569199e+00 2.478898e+00
1.570396e+00 2.478880e+00
1.571594e+00 2.478862e+00
1.572803e+00 2.478844e+00
1.574001e+00 2.478826e+00
1.575198e+00 2.478811e+00
1.576396e+00 2.478798e+00
1.577593e+00 2.478786e+00
1.578790e+00 2.478773e+00
1.579988e+00 2.478761e+00
1.581185e+00 2.478748e+00
1.582383e+00 2.478736e+00
1.583580e+00 2.478724e+00
1.584790e+00 2.478711e+00
1.585987e+00 2.478699e+00
1.587185e+00 2.478686e+00
1.588382e+00 2.478674e+00
1.589579e+00 2.478661e+00
1.590777e+00 2.478649e+00
1.591974e+00 2.478636e+00
1.593172e+00 2.478624e+00
1.594369e+00 2.478611e+00
1.595567e+00 2.478599e+00
1.596776e+00 2.478586e+00
1.597973e+00 2.478574e+00
1.599171e+00 2.478561e+00
1.600368e+00 2.478549e+00
1.601566e+00 2.478536e+00
1.602763e+00 2.478523e+00
1.603961e+00 2.478510e+00
1.605158e+00 2.478496e+00
1.606355e+00 2.478483e+00
1.607553e+00 2.478469e+00
1.608762e+00 2.478455e+00
1.609960e+00 2.478442e+00
1.611157e+00 2.478428e+00
1.612355e+00 2.478415e+00
1.613552e+00 2.478401e+00
1.614750e+00 2.478388e+00
1.615947e+00 2.478374e+00
1.617144e+00 2.478361e+00
1.618342e+00 2.478347e+00
1.619539e+00 2.478334e+00
1.620749e+00 2.478320e+00
1.621946e+00 2.478307e+00
1.623144e+00 2.478293e+00
1.624341e+00 2.478280e+00
1.625538e+00 2.478266e+00
1.626736e+00 2.478253e+00
1.627933e+00 2.478239e+00
1.629131e+00 2.478226e+00
1.630328e+00 2.478212e+00
1.631526e+00 2.478200e+00
1.632735e+00 2.478187e+00
1.633932e+00 2.478174e+00
1.635130e+00 2.478161e+00
1.636327e+00 2.478148e+00
1.637525e+00 2.478136e+00
1.638722e+00 2.478123e+00
1.639920e+00 2.478110e+00
1.641117e+00 2.478097e+00
1.642314e+00 2.478085e+00
1.643512e+00 2.478072e+00
1.644721e+00 2.478059e+00
1.645919e+00 2.478046e+00
1.647116e+00 2.478033e+00
1.648314e+00 2.478021e+00
1.649511e+00 2.478008e+00
1.650709e+00 2.477995e+00
1.651906e+00 2.477982e+00
1.653103e+00 2.477970e+00
1.654301e+00 2.477957e+00
1.655498e+00 2.477944e+00
1.656708e+00 2.477931e+00
1.657905e+00 2.477919e+00
1.659103e+00 2.477904e+00
1.660300e+00 2.477890e+00
1.661497e+00 2.477876e+00
1.662695e+00 2.477862e+00
1.663892e+00 2.477848e+00
1.665090e+00 2.477834e+00
1.666287e+00 2.477820e+00
1.667485e+00 2.477806e+00
1.668694e+00 2.477792e+00
1.669891e+00 2.477778e+00
1.671089e+00 2.477764e+00
1.672286e+00 2.477750e+00
1.673484e+00 2.477736e+00
1.674681e+00 2.477722e+00
1.675879e+00 2.477708e+00
1.677076e+00 2.477694e+00
1.678274e+00 2.477680e+00
1.679471e+00 2.477666e+00
1.680680e+00 2.477651e+00
1.681878e+00 2.477637e+00
1.683075e+00 2.477623e+00
1.684273e+00 2.477609e+00
1.685470e+00 2.477595e+00
1.686668e+00 2.477581e+00
