wavelength   n   k
6.474602e-01 2.527810e+00 1.768989e-02
6.486576e-01 2.527585e+00 1.765208e-02
6.498550e-01 2.527360e+00 1.761426e-02
6.510525e-01 2.527136e+00 1.757645e-02
6.522499e-01 2.526911e+00 1.753864e-02
6.534593e-01 2.526684e+00 1.750045e-02
6.546568e-01 2.526460e+00 1.746263e-02
6.558542e-01 2.526244e+00 1.742553e-02
6.570516e-01 2.526037e+00 1.738924e-02
6.582491e-01 2.525831e+00 1.735294e-02
6.594465e-01 2.525625e+00 1.731665e-02
6.606439e-01 2.525419e+00 1.728035e-02
6.618414e-01 2.525213e+00 1.724406e-02
6.630388e-01 2.525007e+00 1.720777e-02
6.642362e-01 2.524801e+00 1.717147e-02
6.654457e-01 2.524593e+00 1.713481e-02
6.666431e-01 2.524387e+00 1.709852e-02
6.678405e-01 2.524184e+00 1.706381e-02
6.690380e-01 2.523982e+00 1.702912e-02
6.702354e-01 2.523779e+00 1.699442e-02
6.714328e-01 2.523576e+00 1.695973e-02
6.726303e-01 2.523374e+00 1.692503e-02
6.738277e-01 2.523171e+00 1.689034e-02
6.750251e-01 2.522969e+00 1.685565e-02
6.762226e-01 2.522766e+00 1.682095e-02
6.774320e-01 2.522562e+00 1.678591e-02
6.786294e-01 2.522362e+00 1.675324e-02
6.798269e-01 2.522170e+00 1.672436e-02
6.810243e-01 2.521977e+00 1.669548e-02
6.822217e-01 2.521785e+00 1.666660e-02
6.834192e-01 2.521592e+00 1.663772e-02
6.846166e-01 2.521399e+00 1.660884e-02
6.858141e-01 2.521207e+00 1.657996e-02
6.870115e-01 2.521014e+00 1.655108e-02
6.882089e-01 2.520822e+00 1.652220e-02
6.894183e-01 2.520627e+00 1.649303e-02
6.906158e-01 2.520443e+00 1.646555e-02
6.918132e-01 2.520266e+00 1.643928e-02
6.930106e-01 2.520088e+00 1.641300e-02
6.942081e-01 2.519911e+00 1.638673e-02
6.954055e-01 2.519734e+00 1.636046e-02
6.966030e-01 2.519556e+00 1.633418e-02
6.978004e-01 2.519379e+00 1.630791e-02
6.989978e-01 2.519202e+00 1.628164e-02
7.001953e-01 2.519024e+00 1.625536e-02
7.014047e-01 2.518845e+00 1.622883e-02
7.026021e-01 2.518671e+00 1.620336e-02
7.037996e-01 2.518499e+00 1.617853e-02
7.049970e-01 2.518328e+00 1.615370e-02
7.061944e-01 2.518156e+00 1.612887e-02
7.073919e-01 2.517984e+00 1.610404e-02
7.085893e-01 2.517812e+00 1.607921e-02
7.097867e-01 2.517640e+00 1.605438e-02
7.109842e-01 2.517469e+00 1.602955e-02
7.121816e-01 2.517297e+00 1.600473e-02
7.133910e-01 2.517123e+00 1.597965e-02
7.145885e-01 2.516954e+00 1.595679e-02
7.157859e-01 2.516789e+00 1.593686e-02
7.169833e-01 2.516623e+00 1.591692e-02
7.181808e-01 2.516458e+00 1.589699e-02
7.193782e-01 2.516293e+00 1.587705e-02
7.205756e-01 2.516128e+00 1.585711e-02
7.217731e-01 2.515962e+00 1.583718e-02
7.229705e-01 2.515797e+00 1.581724e-02
7.241680e-01 2.515632e+00 1.579730e-02
7.253774e-01 2.515465e+00 1.577717e-02
7.265748e-01 2.515301e+00 1.575743e-02
7.277722e-01 2.515150e+00 1.574020e-02
7.289697e-01 2.515000e+00 1.572298e-02
7.301671e-01 2.514849e+00 1.570575e-02
7.313645e-01 2.514698e+00 1.568852e-02
7.325620e-01 2.514548e+00 1.567130e-02
7.337594e-01 2.514397e+00 1.565407e-02
7.349569e-01 2.514247e+00 1.563684e-02
7.361543e-01 2.514096e+00 1.561961e-02
7.373637e-01 2.513944e+00 1.560221e-02
7.385611e-01 2.513794e+00 1.558499e-02
7.397586e-01 2.513646e+00 1.556786e-02
7.409560e-01 2.513502e+00 1.555080e-02
7.421534e-01 2.513358e+00 1.553375e-02
7.433509e-01 2.513213e+00 1.551670e-02
7.445483e-01 2.513069e+00 1.549964e-02
7.457458e-01 2.512924e+00 1.548259e-02
7.469432e-01 2.512780e+00 1.546553e-02
7.481406e-01 2.512635e+00 1.544848e-02
7.493500e-01 2.512489e+00 1.543126e-02
7.505475e-01 2.512345e+00 1.541420e-02
7.517449e-01 2.512200e+00 1.539715e-02
7.529424e-01 2.512059e+00 1.538341e-02
7.541398e-01 2.511918e+00 1.537015e-02
7.553372e-01 2.511776e+00 1.535690e-02
7.565347e-01 2.511635e+00 1.534364e-02
7.577321e-01 2.511494e+00 1.533039e-02
7.589295e-01 2.511353e+00 1.531713e-02
7.601270e-01 2.511211e+00 1.530387e-02
7.613244e-01 2.511070e+00 1.529062e-02
7.625338e-01 2.510928e+00 1.527723e-02
7.637313e-01 2.510786e+00 1.526397e-02
7.649287e-01 2.510645e+00 1.525072e-02
7.661261e-01 2.510518e+00 1.523978e-02
7.673236e-01 2.510391e+00 1.522884e-02
7.685210e-01 2.510264e+00 1.521791e-02
7.697184e-01 2.510137e+00 1.520697e-02
7.709159e-01 2.510010e+00 1.519604e-02
7.721133e-01 2.509883e+00 1.518511e-02
7.733108e-01 2.509756e+00 1.517417e-02
7.745202e-01 2.509628e+00 1.516313e-02
7.757176e-01 2.509501e+00 1.515220e-02
7.769150e-01 2.509374e+00 1.514126e-02
7.781125e-01 2.509247e+00 1.513033e-02
7.793099e-01 2.509124e+00 1.511908e-02
7.805073e-01 2.509001e+00 1.510781e-02
7.817048e-01 2.508878e+00 1.509654e-02
7.829022e-01 2.508755e+00 1.508527e-02
7.840997e-01 2.508633e+00 1.507400e-02
7.852971e-01 2.508510e+00 1.506273e-02
7.865065e-01 2.508386e+00 1.505134e-02
7.877039e-01 2.508263e+00 1.504007e-02
7.889014e-01 2.508141e+00 1.502880e-02
7.900988e-01 2.508018e+00 1.501753e-02
7.912963e-01 2.507895e+00 1.500626e-02
7.924937e-01 2.507775e+00 1.499691e-02
7.936911e-01 2.507656e+00 1.498850e-02
7.948886e-01 2.507536e+00 1.498009e-02
7.960860e-01 2.507417e+00 1.497168e-02
7.972834e-01 2.507298e+00 1.496327e-02
7.984928e-01 2.507177e+00 1.495477e-02
7.996903e-01 2.507058e+00 1.494636e-02
8.008877e-01 2.506939e+00 1.493795e-02
8.020852e-01 2.506819e+00 1.492953e-02
8.032826e-01 2.506700e+00 1.492112e-02
8.044800e-01 2.506581e+00 1.491271e-02
8.056775e-01 2.506464e+00 1.490448e-02
8.068749e-01 2.506356e+00 1.489690e-02
8.080723e-01 2.506249e+00 1.488933e-02
8.092698e-01 2.506141e+00 1.488175e-02
8.104792e-01 2.506033e+00 1.487409e-02
8.116766e-01 2.505925e+00 1.486652e-02
8.128741e-01 2.505818e+00 1.485894e-02
8.140715e-01 2.505711e+00 1.485136e-02
8.152689e-01 2.505603e+00 1.484378e-02
8.164664e-01 2.505496e+00 1.483620e-02
8.176638e-01 2.505388e+00 1.482863e-02
8.188612e-01 2.505281e+00 1.482105e-02
8.200587e-01 2.505172e+00 1.481428e-02
8.212561e-01 2.505063e+00 1.480812e-02
8.224655e-01 2.504952e+00 1.480190e-02
8.236630e-01 2.504843e+00 1.479575e-02
8.248604e-01 2.504734e+00 1.478959e-02
8.260578e-01 2.504624e+00 1.478343e-02
8.272553e-01 2.504515e+00 1.477728e-02
8.284527e-01 2.504406e+00 1.477112e-02
8.296501e-01 2.504296e+00 1.476496e-02
8.308476e-01 2.504187e+00 1.475881e-02
8.320450e-01 2.504078e+00 1.475265e-02
8.332425e-01 2.503968e+00 1.474650e-02
8.344519e-01 2.503864e+00 1.474361e-02
8.356493e-01 2.503763e+00 1.474205e-02
8.368467e-01 2.503662e+00 1.474049e-02
8.380442e-01 2.503561e+00 1.473894e-02
8.392416e-01 2.503460e+00 1.473738e-02
8.404391e-01 2.503359e+00 1.473582e-02
8.416365e-01 2.503258e+00 1.473427e-02
8.428339e-01 2.503157e+00 1.473271e-02
8.440314e-01 2.503056e+00 1.473116e-02
8.452288e-01 2.502954e+00 1.472960e-02
8.464382e-01 2.502852e+00 1.472803e-02
8.476356e-01 2.502751e+00 1.472647e-02
8.488331e-01 2.502659e+00 1.472400e-02
8.500305e-01 2.502572e+00 1.472105e-02
8.512280e-01 2.502484e+00 1.471811e-02
8.524254e-01 2.502396e+00 1.471517e-02
8.536228e-01 2.502309e+00 1.471223e-02
8.548203e-01 2.502221e+00 1.470928e-02
8.560177e-01 2.502134e+00 1.470634e-02
8.572151e-01 2.502046e+00 1.470340e-02
8.584246e-01 2.501958e+00 1.470043e-02
8.596220e-01 2.501870e+00 1.469748e-02
8.608194e-01 2.501782e+00 1.469454e-02
8.620169e-01 2.501695e+00 1.469160e-02
8.632143e-01 2.501605e+00 1.468866e-02
8.644117e-01 2.501512e+00 1.468572e-02
8.656092e-01 2.501419e+00 1.468279e-02
8.668066e-01 2.501326e+00 1.467986e-02
8.680040e-01 2.501233e+00 1.467692e-02
8.692015e-01 2.501141e+00 1.467399e-02
8.704109e-01 2.501047e+00 1.467102e-02
8.716083e-01 2.500954e+00 1.466809e-02
8.728058e-01 2.500861e+00 1.466516e-02
8.740032e-01 2.500768e+00 1.466222e-02
8.752006e-01 2.500675e+00 1.465929e-02
8.763981e-01 2.500582e+00 1.465635e-02
8.775955e-01 2.500489e+00 1.465342e-02
8.787929e-01 2.500406e+00 1.465266e-02
8.799904e-01 2.500324e+00 1.465211e-02
8.811878e-01 2.500242e+00 1.465156e-02
8.823972e-01 2.500159e+00 1.465100e-02
8.835947e-01 2.500077e+00 1.465045e-02
8.847921e-01 2.499994e+00 1.464990e-02
8.859895e-01 2.499912e+00 1.464935e-02
8.871870e-01 2.499830e+00 1.464879e-02
8.883844e-01 2.499748e+00 1.464824e-02
8.895819e-01 2.499666e+00 1.464769e-02
8.907793e-01 2.499583e+00 1.464714e-02
8.919767e-01 2.499501e+00 1.464659e-02
8.931742e-01 2.499420e+00 1.464590e-02
8.943716e-01 2.499340e+00 1.464470e-02
8.955810e-01 2.499260e+00 1.464348e-02
8.967784e-01 2.499180e+00 1.464228e-02
8.979759e-01 2.499101e+00 1.464108e-02
8.991733e-01 2.499022e+00 1.463988e-02
9.003708e-01 2.498942e+00 1.463868e-02
9.015682e-01 2.498863e+00 1.463748e-02
9.027656e-01 2.498783e+00 1.463628e-02
9.039631e-01 2.498704e+00 1.463508e-02
9.051605e-01 2.498625e+00 1.463387e-02
9.063579e-01 2.498545e+00 1.463267e-02
9.075674e-01 2.498465e+00 1.463146e-02
9.087648e-01 2.498386e+00 1.463050e-02
9.099622e-01 2.498310e+00 1.463007e-02
9.111597e-01 2.498233e+00 1.462964e-02
9.123571e-01 2.498156e+00 1.462922e-02
9.135545e-01 2.498079e+00 1.462879e-02
9.147520e-01 2.498003e+00 1.462836e-02
9.159494e-01 2.497926e+00 1.462794e-02
9.171468e-01 2.497849e+00 1.462751e-02
9.183443e-01 2.497773e+00 1.462708e-02
9.195537e-01 2.497695e+00 1.462665e-02
9.207511e-01 2.497618e+00 1.462623e-02
9.219486e-01 2.497542e+00 1.462580e-02
9.231460e-01 2.497465e+00 1.462537e-02
9.243434e-01 2.497389e+00 1.462522e-02
9.255409e-01 2.497315e+00 1.462646e-02
9.267383e-01 2.497240e+00 1.462770e-02
9.279357e-01 2.497166e+00 1.462894e-02
9.291332e-01 2.497092e+00 1.463018e-02
9.303306e-01 2.497018e+00 1.463143e-02
9.315400e-01 2.496943e+00 1.463268e-02
9.327375e-01 2.496869e+00 1.463392e-02
9.339349e-01 2.496795e+00 1.463516e-02
9.351323e-01 2.496721e+00 1.463641e-02
9.363298e-01 2.496647e+00 1.463765e-02
9.375272e-01 2.496573e+00 1.463889e-02
9.387247e-01 2.496498e+00 1.464013e-02
9.399221e-01 2.496424e+00 1.464137e-02
9.411195e-01 2.496353e+00 1.464465e-02
9.423170e-01 2.496282e+00 1.464846e-02
9.435264e-01 2.496210e+00 1.465231e-02
9.447238e-01 2.496140e+00 1.465613e-02
9.459212e-01 2.496069e+00 1.465994e-02
9.471187e-01 2.495998e+00 1.466375e-02
9.483161e-01 2.495927e+00 1.466757e-02
9.495136e-01 2.495856e+00 1.467138e-02
9.507110e-01 2.495786e+00 1.467519e-02
9.519084e-01 2.495715e+00 1.467901e-02
9.531059e-01 2.495644e+00 1.468282e-02
9.543033e-01 2.495573e+00 1.468663e-02
9.555127e-01 2.495502e+00 1.469048e-02
9.567102e-01 2.495432e+00 1.469450e-02
9.579076e-01 2.495369e+00 1.469931e-02
9.591050e-01 2.495306e+00 1.470413e-02
9.603025e-01 2.495243e+00 1.470894e-02
9.614999e-01 2.495180e+00 1.471376e-02
9.626973e-01 2.495117e+00 1.471858e-02
9.638948e-01 2.495054e+00 1.472339e-02
9.650922e-01 2.494991e+00 1.472821e-02
9.662896e-01 2.494928e+00 1.473303e-02
9.674991e-01 2.494864e+00 1.473789e-02
9.686965e-01 2.494801e+00 1.474271e-02
9.698939e-01 2.494738e+00 1.474752e-02
9.710914e-01 2.494675e+00 1.475234e-02
9.722888e-01 2.494612e+00 1.475716e-02
9.734862e-01 2.494550e+00 1.476156e-02
9.746837e-01 2.494491e+00 1.476522e-02
9.758811e-01 2.494432e+00 1.476888e-02
9.770786e-01 2.494373e+00 1.477253e-02
9.782760e-01 2.494314e+00 1.477619e-02
9.794854e-01 2.494255e+00 1.477989e-02
9.806828e-01 2.494195e+00 1.478355e-02
9.818803e-01 2.494136e+00 1.478720e-02
9.830777e-01 2.494077e+00 1.479086e-02
9.842751e-01 2.494018e+00 1.479452e-02
9.854726e-01 2.493959e+00 1.479818e-02
9.866700e-01 2.493900e+00 1.480184e-02
9.878675e-01 2.493841e+00 1.480550e-02
9.890649e-01 2.493782e+00 1.480916e-02
9.902623e-01 2.493723e+00 1.481269e-02
9.914717e-01 2.493665e+00 1.481593e-02
9.926692e-01 2.493608e+00 1.481914e-02
9.938666e-01 2.493550e+00 1.482235e-02
9.950640e-01 2.493492e+00 1.482555e-02
9.962615e-01 2.493435e+00 1.482876e-02
9.974589e-01 2.493377e+00 1.483197e-02
9.986564e-01 2.493319e+00 1.483518e-02
9.998538e-01 2.493262e+00 1.483838e-02
1.001051e+00 2.493204e+00 1.484159e-02
1.002249e+00 2.493146e+00 1.484480e-02
1.003458e+00 2.493088e+00 1.484804e-02
1.004656e+00 2.493031e+00 1.485125e-02
1.005853e+00 2.492973e+00 1.485446e-02
1.007050e+00 2.492915e+00 1.485766e-02
1.008248e+00 2.492860e+00 1.486131e-02
1.009445e+00 2.492804e+00 1.486497e-02
1.010643e+00 2.492749e+00 1.486862e-02
1.011840e+00 2.492693e+00 1.487228e-02
1.013038e+00 2.492638e+00 1.487594e-02
1.014235e+00 2.492582e+00 1.487960e-02
1.015444e+00 2.492526e+00 1.488329e-02
1.016642e+00 2.492470e+00 1.488695e-02
1.017839e+00 2.492415e+00 1.489061e-02
1.019037e+00 2.492359e+00 1.489427e-02
1.020234e+00 2.492304e+00 1.489793e-02
1.021432e+00 2.492248e+00 1.490158e-02
1.022629e+00 2.492193e+00 1.490524e-02
1.023826e+00 2.492137e+00 1.490890e-02
1.025024e+00 2.492082e+00 1.491293e-02
1.026221e+00 2.492028e+00 1.491752e-02
1.027419e+00 2.491974e+00 1.492211e-02
1.028628e+00 2.491920e+00 1.492675e-02
1.029826e+00 2.491866e+00 1.493135e-02
1.031023e+00 2.491812e+00 1.493594e-02
1.032221e+00 2.491758e+00 1.494053e-02
1.033418e+00 2.491704e+00 1.494513e-02
1.034615e+00 2.491649e+00 1.494972e-02
1.035813e+00 2.491595e+00 1.495431e-02
1.037010e+00 2.491541e+00 1.495891e-02
1.038208e+00 2.491487e+00 1.496350e-02
1.039405e+00 2.491433e+00 1.496809e-02
1.040615e+00 2.491379e+00 1.497273e-02
1.041812e+00 2.491325e+00 1.497733e-02
1.043009e+00 2.491272e+00 1.498295e-02
1.044207e+00 2.491219e+00 1.498933e-02
1.045404e+00 2.491167e+00 1.499571e-02
1.046602e+00 2.491115e+00 1.500209e-02
1.047799e+00 2.491063e+00 1.500846e-02
1.048997e+00 2.491010e+00 1.501484e-02
1.050194e+00 2.490958e+00 1.502122e-02
1.051391e+00 2.490906e+00 1.502760e-02
1.052601e+00 2.490853e+00 1.503404e-02
1.053798e+00 2.490801e+00 1.504042e-02
1.054996e+00 2.490748e+00 1.504679e-02
1.056193e+00 2.490696e+00 1.505317e-02
1.057391e+00 2.490644e+00 1.505955e-02
1.058588e+00 2.490592e+00 1.506593e-02
1.059786e+00 2.490539e+00 1.507230e-02
1.060983e+00 2.490489e+00 1.507963e-02
1.062180e+00 2.490440e+00 1.508793e-02
1.063378e+00 2.490392e+00 1.509623e-02
1.064587e+00 2.490342e+00 1.510461e-02
1.065785e+00 2.490294e+00 1.511291e-02
1.066982e+00 2.490245e+00 1.512121e-02
1.068180e+00 2.490197e+00 1.512951e-02
1.069377e+00 2.490148e+00 1.513780e-02
1.070574e+00 2.490099e+00 1.514610e-02
1.071772e+00 2.490051e+00 1.515440e-02
1.072969e+00 2.490002e+00 1.516270e-02
1.074167e+00 2.489953e+00 1.517099e-02
1.075364e+00 2.489905e+00 1.517929e-02
1.076574e+00 2.489856e+00 1.518767e-02
1.077771e+00 2.489807e+00 1.519597e-02
1.078968e+00 2.489759e+00 1.520426e-02
1.080166e+00 2.489717e+00 1.521248e-02
1.081363e+00 2.489674e+00 1.522070e-02
1.082561e+00 2.489632e+00 1.522892e-02
1.083758e+00 2.489589e+00 1.523714e-02
1.084956e+00 2.489547e+00 1.524536e-02
1.086153e+00 2.489504e+00 1.525358e-02
1.087350e+00 2.489461e+00 1.526180e-02
1.088560e+00 2.489418e+00 1.527010e-02
1.089757e+00 2.489376e+00 1.527832e-02
1.090955e+00 2.489333e+00 1.528654e-02
1.092152e+00 2.489291e+00 1.529476e-02
1.093350e+00 2.489248e+00 1.530298e-02
1.094547e+00 2.489206e+00 1.531120e-02
1.095745e+00 2.489163e+00 1.531942e-02
1.096942e+00 2.489120e+00 1.532764e-02
1.098139e+00 2.489079e+00 1.533520e-02
1.099337e+00 2.489038e+00 1.534223e-02
1.100546e+00 2.488996e+00 1.534933e-02
1.101744e+00 2.488955e+00 1.535636e-02
1.102941e+00 2.488914e+00 1.536339e-02
1.104139e+00 2.488873e+00 1.537043e-02
1.105336e+00 2.488832e+00 1.537746e-02
1.106533e+00 2.488790e+00 1.538449e-02
1.107731e+00 2.488749e+00 1.539152e-02
1.108928e+00 2.488708e+00 1.539855e-02
1.110126e+00 2.488667e+00 1.540558e-02
1.111323e+00 2.488626e+00 1.541261e-02
1.112533e+00 2.488584e+00 1.541971e-02
1.113730e+00 2.488543e+00 1.542674e-02
1.114927e+00 2.488502e+00 1.543378e-02
