wavelength   n   k
4.908235e-01 2.574938e+00 2.997178e-02
4.908354e-01 2.574932e+00 2.996994e-02
4.908474e-01 2.574927e+00 2.996810e-02
4.908594e-01 2.574921e+00 2.996626e-02
4.908714e-01 2.574916e+00 2.996441e-02
4.908833e-01 2.574911e+00 2.996257e-02
4.908953e-01 2.574905e+00 2.996073e-02
4.909073e-01 2.574900e+00 2.995889e-02
4.909193e-01 2.574894e+00 2.995705e-02
4.909312e-01 2.574889e+00 2.995521e-02
4.909432e-01 2.574883e+00 2.995337e-02
4.909552e-01 2.574878e+00 2.995153e-02
4.909672e-01 2.574873e+00 2.994968e-02
4.909791e-01 2.574867e+00 2.994784e-02
4.909911e-01 2.574862e+00 2.994600e-02
4.910031e-01 2.574856e+00 2.994416e-02
4.910151e-01 2.574851e+00 2.994232e-02
4.910270e-01 2.574845e+00 2.994048e-02
4.910390e-01 2.574840e+00 2.993864e-02
4.910510e-01 2.574834e+00 2.993680e-02
4.910630e-01 2.574829e+00 2.993495e-02
4.910749e-01 2.574824e+00 2.993311e-02
4.910869e-01 2.574818e+00 2.993127e-02
4.910989e-01 2.574813e+00 2.992943e-02
4.911109e-01 2.574807e+00 2.992759e-02
4.911228e-01 2.574802e+00 2.992575e-02
4.911348e-01 2.574796e+00 2.992391e-02
4.911468e-01 2.574791e+00 2.992207e-02
4.911587e-01 2.574786e+00 2.992022e-02
4.911707e-01 2.574780e+00 2.991838e-02
4.911827e-01 2.574775e+00 2.991654e-02
4.911947e-01 2.574769e+00 2.991470e-02
4.912066e-01 2.574764e+00 2.991286e-02
4.912186e-01 2.574758e+00 2.991102e-02
4.912306e-01 2.574753e+00 2.990918e-02
4.912426e-01 2.574747e+00 2.990734e-02
4.912545e-01 2.574742e+00 2.990549e-02
4.912665e-01 2.574737e+00 2.990365e-02
4.912785e-01 2.574731e+00 2.990181e-02
4.912905e-01 2.574726e+00 2.989997e-02
4.913024e-01 2.574720e+00 2.989813e-02
4.913144e-01 2.574715e+00 2.989629e-02
4.913264e-01 2.574709e+00 2.989445e-02
4.913384e-01 2.574704e+00 2.989261e-02
4.913503e-01 2.574699e+00 2.989076e-02
4.913623e-01 2.574693e+00 2.988892e-02
4.913743e-01 2.574688e+00 2.988708e-02
4.913863e-01 2.574682e+00 2.988524e-02
4.913982e-01 2.574677e+00 2.988340e-02
4.914102e-01 2.574671e+00 2.988156e-02
4.914222e-01 2.574666e+00 2.987972e-02
4.914342e-01 2.574660e+00 2.987788e-02
4.914461e-01 2.574655e+00 2.987603e-02
4.914581e-01 2.574650e+00 2.987419e-02
4.914701e-01 2.574644e+00 2.987235e-02
4.914821e-01 2.574639e+00 2.987051e-02
4.914940e-01 2.574633e+00 2.986867e-02
4.915060e-01 2.574628e+00 2.986683e-02
4.915180e-01 2.574622e+00 2.986499e-02
4.915300e-01 2.574617e+00 2.986315e-02
4.915419e-01 2.574612e+00 2.986130e-02
4.915539e-01 2.574606e+00 2.985946e-02
4.915659e-01 2.574601e+00 2.985762e-02
4.915779e-01 2.574595e+00 2.985578e-02
4.915898e-01 2.574590e+00 2.985394e-02
4.916018e-01 2.574584e+00 2.985210e-02
4.916138e-01 2.574579e+00 2.985026e-02
4.916257e-01 2.574573e+00 2.984842e-02
4.916377e-01 2.574568e+00 2.984657e-02
4.916497e-01 2.574563e+00 2.984473e-02
4.916617e-01 2.574557e+00 2.984289e-02
4.916736e-01 2.574552e+00 2.984105e-02
4.916856e-01 2.574546e+00 2.983921e-02
4.916976e-01 2.574541e+00 2.983737e-02
4.917096e-01 2.574535e+00 2.983553e-02
4.917215e-01 2.574530e+00 2.983369e-02
4.917335e-01 2.574525e+00 2.983184e-02
4.917455e-01 2.574519e+00 2.983000e-02
4.917575e-01 2.574514e+00 2.982816e-02
4.917694e-01 2.574508e+00 2.982632e-02
4.917814e-01 2.574503e+00 2.982448e-02
4.917934e-01 2.574497e+00 2.982264e-02
4.918054e-01 2.574492e+00 2.982080e-02
4.918173e-01 2.574487e+00 2.981896e-02
4.918293e-01 2.574481e+00 2.981711e-02
4.918413e-01 2.574476e+00 2.981527e-02
4.918533e-01 2.574470e+00 2.981343e-02
4.918652e-01 2.574465e+00 2.981159e-02
4.918772e-01 2.574459e+00 2.980975e-02
4.918892e-01 2.574454e+00 2.980791e-02
4.919012e-01 2.574448e+00 2.980607e-02
4.919131e-01 2.574443e+00 2.980423e-02
4.919251e-01 2.574438e+00 2.980238e-02
4.919371e-01 2.574432e+00 2.980054e-02
